GEOID,NAME,median_income,total_units,owner_occupied,renter_occupied,total_renters,total_population,white_population,black_population,median_home_value,pct_owner_occupied,pct_renter_occupied,pct_cost_burdened,pct_minority
260650053042,Block Group 2; Census Tract 53.04; Ingham County; Michigan,26203,495,61,434,434,1008,413,489,81400,0.12323232323232323,0.8767676767676768,0.4400921658986175,0.5902777777777778
260650053043,Block Group 3; Census Tract 53.04; Ingham County; Michigan,27246,500,109,391,391,1084,373,224,110900,0.218,0.782,0.4373401534526854,0.6559040590405905
260650053051,Block Group 1; Census Tract 53.05; Ingham County; Michigan,161172,317,317,0,0,943,903,7,311000,1.0,0.0,0.0,0.042417815482502674
260650053052,Block Group 2; Census Tract 53.05; Ingham County; Michigan,98847,1111,656,455,455,2532,1984,57,277300,0.5904590459045904,0.4095409540954095,0.2175824175824176,0.2164296998420221
260650053061,Block Group 1; Census Tract 53.06; Ingham County; Michigan,52350,795,182,613,613,1762,1251,426,134400,0.2289308176100629,0.7710691823899372,0.12398042414355628,0.29001135073779793
260650053062,Block Group 2; Census Tract 53.06; Ingham County; Michigan,64013,570,463,107,107,1368,1124,191,184500,0.8122807017543859,0.18771929824561404,0.38317757009345793,0.17836257309941517
260650054011,Block Group 1; Census Tract 54.01; Ingham County; Michigan,52426,895,435,460,460,1742,1152,272,155800,0.4860335195530726,0.5139664804469274,0.21739130434782608,0.33869115958668194
260650054012,Block Group 2; Census Tract 54.01; Ingham County; Michigan,71111,258,221,37,37,643,473,26,178000,0.8565891472868217,0.1434108527131783,0.40540540540540543,0.2643856920684292
260650054013,Block Group 3; Census Tract 54.01; Ingham County; Michigan,106179,301,269,32,32,951,713,49,191200,0.893687707641196,0.10631229235880399,0.0,0.2502628811777077
260650054021,Block Group 1; Census Tract 54.02; Ingham County; Michigan,65865,686,264,422,422,1470,1259,42,124600,0.3848396501457726,0.6151603498542274,0.07345971563981042,0.14353741496598638
260650054022,Block Group 2; Census Tract 54.02; Ingham County; Michigan,30236,365,230,135,135,702,589,113,133000,0.6301369863013698,0.3698630136986301,0.5777777777777777,0.16096866096866091
260650054023,Block Group 3; Census Tract 54.02; Ingham County; Michigan,43446,768,356,412,412,1189,923,84,124100,0.4635416666666667,0.5364583333333334,0.2354368932038835,0.223717409587889
260650055011,Block Group 1; Census Tract 55.01; Ingham County; Michigan,127283,628,608,20,20,1701,1405,38,264100,0.9681528662420382,0.03184713375796178,1.0,0.1740152851263962
260650055012,Block Group 2; Census Tract 55.01; Ingham County; Michigan,92006,878,645,233,233,2027,1744,101,228700,0.734624145785877,0.265375854214123,0.7296137339055794,0.13961519486926488
260650055013,Block Group 3; Census Tract 55.01; Ingham County; Michigan,54516,364,343,21,21,1126,679,139,-666666666,0.9423076923076923,0.057692307692307696,0.0,0.39698046181172286
260650055014,Block Group 4; Census Tract 55.01; Ingham County; Michigan,106701,477,466,11,11,1171,1095,0,177900,0.9769392033542977,0.023060796645702306,0.0,0.06490179333902646
260650055021,Block Group 1; Census Tract 55.02; Ingham County; Michigan,84036,2095,1026,1069,1069,5312,3520,831,200200,0.4897374701670644,0.5102625298329355,0.05144995322731525,0.3373493975903614
260650055022,Block Group 2; Census Tract 55.02; Ingham County; Michigan,96402,511,493,18,18,1394,1068,0,201100,0.9647749510763209,0.03522504892367906,0.0,0.2338593974175036
260650056001,Block Group 1; Census Tract 56; Ingham County; Michigan,85707,333,304,29,29,953,822,12,275500,0.9129129129129129,0.08708708708708708,0.0,0.13746065057712487
260650056002,Block Group 2; Census Tract 56; Ingham County; Michigan,132578,349,338,11,11,1139,834,4,267600,0.9684813753581661,0.03151862464183381,0.36363636363636365,0.26777875329236167
260650056003,Block Group 3; Census Tract 56; Ingham County; Michigan,70000,344,284,60,60,830,795,8,236100,0.8255813953488372,0.1744186046511628,0.0,0.04216867469879515
260650057001,Block Group 1; Census Tract 57; Ingham County; Michigan,106250,643,593,50,50,1781,1540,8,250800,0.9222395023328149,0.07776049766718507,0.3,0.13531723750701852
260650057002,Block Group 2; Census Tract 57; Ingham County; Michigan,109120,677,611,66,66,1452,1320,15,277400,0.9025110782865583,0.09748892171344166,0.0,0.09090909090909094
260650057003,Block Group 3; Census Tract 57; Ingham County; Michigan,122500,652,635,17,17,1771,1560,0,273400,0.9739263803680982,0.02607361963190184,0.0,0.11914172783737997
260650058001,Block Group 1; Census Tract 58; Ingham County; Michigan,107868,563,548,15,15,1250,1209,0,236000,0.9733570159857904,0.02664298401420959,1.0,0.03280000000000005
260650058002,Block Group 2; Census Tract 58; Ingham County; Michigan,104766,883,708,175,175,1942,1935,6,401400,0.8018120045300113,0.19818799546998866,0.38285714285714284,0.003604531410916545
260650058003,Block Group 3; Census Tract 58; Ingham County; Michigan,84309,713,395,318,318,1428,1333,0,172000,0.5539971949509116,0.44600280504908835,0.36792452830188677,0.06652661064425769
260650058004,Block Group 4; Census Tract 58; Ingham County; Michigan,57000,364,266,98,98,1220,1220,0,143400,0.7307692307692307,0.2692307692307692,0.3979591836734694,0.0
260650059001,Block Group 1; Census Tract 59; Ingham County; Michigan,103958,517,487,30,30,1296,1214,0,261100,0.941972920696325,0.058027079303675046,0.0,0.06327160493827155
260650059002,Block Group 2; Census Tract 59; Ingham County; Michigan,138158,308,308,0,0,945,899,0,270200,1.0,0.0,0.0,0.04867724867724865
260650059003,Block Group 3; Census Tract 59; Ingham County; Michigan,55370,556,444,112,112,1340,1308,0,145500,0.7985611510791367,0.2014388489208633,0.11607142857142858,0.023880597014925398
260650059004,Block Group 4; Census Tract 59; Ingham County; Michigan,76582,693,545,148,148,1797,1665,0,115400,0.7864357864357865,0.21356421356421357,0.0,0.07345575959933226
260650060011,Block Group 1; Census Tract 60.01; Ingham County; Michigan,86705,473,399,74,74,1283,1233,17,234300,0.8435517970401691,0.15644820295983086,0.16216216216216217,0.03897116134060796
260650060012,Block Group 2; Census Tract 60.01; Ingham County; Michigan,74688,353,326,27,27,816,776,0,201300,0.9235127478753541,0.0764872521246459,0.1111111111111111,0.0490196078431373
260650060013,Block Group 3; Census Tract 60.01; Ingham County; Michigan,88594,449,419,30,30,1302,1262,2,212500,0.933184855233853,0.066815144766147,0.0,0.030721966205837226
260650060021,Block Group 1; Census Tract 60.02; Ingham County; Michigan,82344,628,520,108,108,1549,1493,9,188900,0.8280254777070064,0.17197452229299362,0.07407407407407407,0.03615235635894121
260650060022,Block Group 2; Census Tract 60.02; Ingham County; Michigan,106651,414,358,56,56,1014,963,7,239900,0.8647342995169082,0.13526570048309178,0.5,0.050295857988165715
260650060023,Block Group 3; Census Tract 60.02; Ingham County; Michigan,51691,531,313,218,218,1120,1030,7,193300,0.5894538606403014,0.4105461393596987,0.13761467889908258,0.0803571428571429
260650061001,Block Group 1; Census Tract 61; Ingham County; Michigan,94250,403,371,32,32,1167,1006,23,189100,0.9205955334987593,0.0794044665012407,0.0,0.1379605826906598
260650061002,Block Group 2; Census Tract 61; Ingham County; Michigan,101065,387,369,18,18,968,860,6,205100,0.9534883720930233,0.046511627906976744,0.0,0.11157024793388426
260650061003,Block Group 3; Census Tract 61; Ingham County; Michigan,73571,372,301,71,71,1042,974,5,142600,0.8091397849462365,0.19086021505376344,0.0,0.06525911708253362
260650061004,Block Group 4; Census Tract 61; Ingham County; Michigan,68083,508,379,129,129,1378,1274,4,118100,0.7460629921259843,0.25393700787401574,0.08527131782945736,0.07547169811320753
260650062001,Block Group 1; Census Tract 62; Ingham County; Michigan,69643,464,397,67,67,1287,1192,0,259800,0.8556034482758621,0.14439655172413793,0.3582089552238806,0.0738150738150738
260650062002,Block Group 2; Census Tract 62; Ingham County; Michigan,105347,299,293,6,6,802,802,0,223900,0.979933110367893,0.020066889632107024,0.0,0.0
260650062003,Block Group 3; Census Tract 62; Ingham County; Michigan,90083,479,439,40,40,1396,1291,0,213700,0.9164926931106472,0.08350730688935282,0.0,0.07521489971346706
260650062004,Block Group 4; Census Tract 62; Ingham County; Michigan,97083,508,503,5,5,1445,1385,0,234000,0.9901574803149606,0.00984251968503937,0.0,0.04152249134948094
260650063011,Block Group 1; Census Tract 63.01; Ingham County; Michigan,75313,225,114,111,111,485,485,0,133600,0.5066666666666667,0.49333333333333335,0.0,0.0
260650063012,Block Group 2; Census Tract 63.01; Ingham County; Michigan,70000,474,233,241,241,850,824,0,187300,0.49156118143459915,0.5084388185654009,0.04149377593360996,0.030588235294117694
260650063013,Block Group 3; Census Tract 63.01; Ingham County; Michigan,68750,410,311,99,99,1171,1142,0,-666666666,0.7585365853658537,0.24146341463414633,0.0,0.024765157984628527
260650063014,Block Group 4; Census Tract 63.01; Ingham County; Michigan,91705,463,413,50,50,1164,1094,0,264800,0.8920086393088553,0.1079913606911447,0.0,0.06013745704467355
260650063015,Block Group 5; Census Tract 63.01; Ingham County; Michigan,76468,540,303,237,237,1701,1336,218,351800,0.5611111111111111,0.4388888888888889,0.24472573839662448,0.21457965902410348
260650063021,Block Group 1; Census Tract 63.02; Ingham County; Michigan,75337,1174,1075,99,99,2717,2363,21,183100,0.9156729131175468,0.08432708688245315,0.5252525252525253,0.13029076186970923
260650063022,Block Group 2; Census Tract 63.02; Ingham County; Michigan,74097,547,239,308,308,1084,959,88,174000,0.4369287020109689,0.5630712979890311,0.17857142857142858,0.11531365313653141
260650064011,Block Group 1; Census Tract 64.01; Ingham County; Michigan,99271,597,508,89,89,1626,1478,6,252600,0.8509212730318257,0.1490787269681742,0.0,0.09102091020910208
260650064012,Block Group 2; Census Tract 64.01; Ingham County; Michigan,88333,1006,942,64,64,2682,2504,31,235600,0.9363817097415507,0.0636182902584493,0.09375,0.06636838180462346
260650064021,Block Group 1; Census Tract 64.02; Ingham County; Michigan,96250,556,518,38,38,1559,1370,13,246800,0.9316546762589928,0.0683453237410072,0.18421052631578946,0.12123155869146884
260650064022,Block Group 2; Census Tract 64.02; Ingham County; Michigan,80206,495,395,100,100,1447,1407,7,182900,0.797979797979798,0.20202020202020202,0.09,0.027643400138216978
260650065001,Block Group 1; Census Tract 65; Ingham County; Michigan,65313,472,389,83,83,936,774,6,161800,0.8241525423728814,0.17584745762711865,0.0,0.17307692307692313
260650065002,Block Group 2; Census Tract 65; Ingham County; Michigan,56204,374,204,170,170,747,642,36,111400,0.5454545454545454,0.45454545454545453,0.4411764705882353,0.1405622489959839
260650065003,Block Group 3; Census Tract 65; Ingham County; Michigan,51277,432,82,350,350,753,375,193,70600,0.18981481481481483,0.8101851851851852,0.09142857142857143,0.50199203187251
260650065004,Block Group 4; Census Tract 65; Ingham County; Michigan,38241,378,85,293,293,702,602,39,91700,0.22486772486772486,0.7751322751322751,0.39590443686006827,0.14245014245014243
260650066001,Block Group 1; Census Tract 66; Ingham County; Michigan,37105,280,103,177,177,584,331,247,120300,0.3678571428571429,0.6321428571428571,0.1016949152542373,0.4332191780821918
260650066002,Block Group 2; Census Tract 66; Ingham County; Michigan,39951,1311,205,1106,1106,2405,1223,750,96000,0.15636918382913806,0.8436308161708619,0.1518987341772152,0.4914760914760915
260650067001,Block Group 1; Census Tract 67; Ingham County; Michigan,32778,618,20,598,598,824,412,212,-666666666,0.032362459546925564,0.9676375404530745,0.16220735785953178,0.5
260650067002,Block Group 2; Census Tract 67; Ingham County; Michigan,-666666666,615,29,586,586,1017,557,150,-666666666,0.04715447154471545,0.9528455284552846,0.3839590443686007,0.4523107177974435
260650067003,Block Group 3; Census Tract 67; Ingham County; Michigan,102837,523,405,118,118,1411,905,338,130500,0.7743785850860421,0.22562141491395793,0.0,0.3586109142452162
260650067004,Block Group 4; Census Tract 67; Ingham County; Michigan,58854,581,379,202,202,1485,567,773,183400,0.6523235800344234,0.3476764199655766,0.26732673267326734,0.6181818181818182
260650068001,Block Group 1; Census Tract 68; Ingham County; Michigan,48158,496,366,130,130,1143,650,216,72200,0.7379032258064516,0.2620967741935484,0.1,0.4313210848643919
260650068002,Block Group 2; Census Tract 68; Ingham County; Michigan,52928,297,146,151,151,593,448,110,60000,0.49158249158249157,0.5084175084175084,0.2980132450331126,0.24451939291736935
260650068003,Block Group 3; Census Tract 68; Ingham County; Michigan,62169,459,302,157,157,1042,334,468,59300,0.6579520697167756,0.3420479302832244,0.22929936305732485,0.6794625719769674
260650068004,Block Group 4; Census Tract 68; Ingham County; Michigan,39258,235,144,91,91,857,252,361,65300,0.6127659574468085,0.3872340425531915,0.4175824175824176,0.705950991831972
260650070001,Block Group 1; Census Tract 70; Ingham County; Michigan,71607,525,279,246,246,827,537,290,117900,0.5314285714285715,0.4685714285714286,0.0,0.3506650544135429
260650070002,Block Group 2; Census Tract 70; Ingham County; Michigan,36403,185,173,12,12,530,397,0,71200,0.9351351351351351,0.06486486486486487,1.0,0.25094339622641515
260650070003,Block Group 3; Census Tract 70; Ingham County; Michigan,84688,601,587,14,14,1575,1333,95,109500,0.9767054908485857,0.02329450915141431,0.0,0.1536507936507937
260650070004,Block Group 4; Census Tract 70; Ingham County; Michigan,58375,432,203,229,229,918,499,419,136800,0.4699074074074074,0.5300925925925926,0.0,0.45642701525054463
260650070005,Block Group 5; Census Tract 70; Ingham County; Michigan,49716,491,394,97,97,944,660,255,114500,0.8024439918533605,0.1975560081466395,0.14432989690721648,0.3008474576271186
260650070006,Block Group 6; Census Tract 70; Ingham County; Michigan,68290,331,237,94,94,1183,728,231,144500,0.716012084592145,0.283987915407855,0.425531914893617,0.3846153846153846
260659800001,Block Group 1; Census Tract 9800; Ingham County; Michigan,-666666666,0,0,0,0,815,628,41,-666666666,0.0,0.0,0.0,0.2294478527607362
260659801001,Block Group 1; Census Tract 9801; Ingham County; Michigan,-666666666,8,8,0,0,24,4,0,-666666666,1.0,0.0,0.0,0.8333333333333334
260659802001,Block Group 1; Census Tract 9802; Ingham County; Michigan,-666666666,0,0,0,0,0,0,0,-666666666,0.0,0.0,0.0,0.0
260659803001,Block Group 1; Census Tract 9803; Ingham County; Michigan,-666666666,0,0,0,0,0,0,0,-666666666,0.0,0.0,0.0,0.0
