GEOID,NAME,median_income,total_units,owner_occupied,renter_occupied,total_renters,total_population,white_population,black_population,median_home_value,pct_owner_occupied,pct_renter_occupied,pct_cost_burdened,pct_minority
260650026002,Block Group 2; Census Tract 26; Ingham County; Michigan,58019,402,272,130,130,1071,561,309,107600,0.6766169154228856,0.32338308457711445,0.06923076923076923,0.47619047619047616
260650027001,Block Group 1; Census Tract 27; Ingham County; Michigan,46814,288,240,48,48,874,500,24,97400,0.8333333333333334,0.16666666666666666,0.0,0.4279176201372997
260650027002,Block Group 2; Census Tract 27; Ingham County; Michigan,71327,640,556,84,84,1378,986,256,87400,0.86875,0.13125,0.07142857142857142,0.2844702467343977
260650027003,Block Group 3; Census Tract 27; Ingham County; Michigan,56406,344,289,55,55,748,250,55,114600,0.8401162790697675,0.15988372093023256,0.0,0.6657754010695187
260650028001,Block Group 1; Census Tract 28; Ingham County; Michigan,58977,283,250,33,33,556,503,14,93200,0.8833922261484098,0.1166077738515901,0.6666666666666666,0.09532374100719421
260650028002,Block Group 2; Census Tract 28; Ingham County; Michigan,38816,360,221,139,139,696,664,4,87200,0.6138888888888889,0.3861111111111111,0.6474820143884892,0.04597701149425293
260650028003,Block Group 3; Census Tract 28; Ingham County; Michigan,74821,462,410,52,52,1028,913,84,131300,0.8874458874458875,0.11255411255411256,0.0,0.11186770428015569
260650029011,Block Group 1; Census Tract 29.01; Ingham County; Michigan,72009,629,500,129,129,1406,946,268,140200,0.794912559618442,0.20508744038155802,0.0,0.3271692745376956
260650029012,Block Group 2; Census Tract 29.01; Ingham County; Michigan,51734,969,385,584,584,2007,1546,156,153300,0.3973168214654283,0.6026831785345718,0.5513698630136986,0.2296960637767813
260650029021,Block Group 1; Census Tract 29.02; Ingham County; Michigan,50058,726,81,645,645,1384,609,404,93800,0.1115702479338843,0.8884297520661157,0.26046511627906976,0.559971098265896
260650029022,Block Group 2; Census Tract 29.02; Ingham County; Michigan,38036,234,0,234,234,684,328,207,-666666666,0.0,1.0,0.42735042735042733,0.52046783625731
260650029023,Block Group 3; Census Tract 29.02; Ingham County; Michigan,40986,1195,0,1195,1195,1692,990,217,-666666666,0.0,1.0,0.014225941422594143,0.4148936170212766
260650031031,Block Group 1; Census Tract 31.03; Ingham County; Michigan,73639,711,218,493,493,1189,652,277,191500,0.3066104078762307,0.6933895921237694,0.17849898580121704,0.4516400336417157
260650031032,Block Group 2; Census Tract 31.03; Ingham County; Michigan,149375,534,510,24,24,1358,1112,201,214200,0.9550561797752809,0.0449438202247191,0.0,0.18114874815905746
260650031033,Block Group 3; Census Tract 31.03; Ingham County; Michigan,-666666666,324,227,97,97,754,540,46,188400,0.7006172839506173,0.2993827160493827,0.0,0.2838196286472149
260650031034,Block Group 4; Census Tract 31.03; Ingham County; Michigan,-666666666,404,231,173,173,1121,875,158,-666666666,0.5717821782178217,0.4282178217821782,0.09248554913294797,0.2194469223907226
260650031035,Block Group 5; Census Tract 31.03; Ingham County; Michigan,57788,349,79,270,270,571,305,133,136500,0.22636103151862463,0.7736389684813754,0.10740740740740741,0.4658493870402802
260650031036,Block Group 6; Census Tract 31.03; Ingham County; Michigan,45708,378,67,311,311,656,296,63,162500,0.17724867724867724,0.8227513227513228,0.08681672025723473,0.5487804878048781
260650032001,Block Group 1; Census Tract 32; Ingham County; Michigan,57188,401,256,145,145,1167,905,67,81800,0.6384039900249376,0.36159600997506236,0.1793103448275862,0.22450728363324768
260650032002,Block Group 2; Census Tract 32; Ingham County; Michigan,31360,343,177,166,166,830,495,99,89600,0.5160349854227405,0.4839650145772595,0.21686746987951808,0.4036144578313253
260650033011,Block Group 1; Census Tract 33.01; Ingham County; Michigan,51250,502,334,168,168,1359,823,134,132900,0.6653386454183267,0.3346613545816733,0.0,0.39440765268579836
260650033012,Block Group 2; Census Tract 33.01; Ingham County; Michigan,14219,393,105,288,288,1048,280,641,117700,0.26717557251908397,0.732824427480916,0.6666666666666666,0.732824427480916
260650033013,Block Group 3; Census Tract 33.01; Ingham County; Michigan,70208,325,256,69,69,741,632,7,109600,0.7876923076923077,0.2123076923076923,0.0,0.1470985155195681
260650033021,Block Group 1; Census Tract 33.02; Ingham County; Michigan,85982,469,450,19,19,1031,720,85,144500,0.9594882729211087,0.04051172707889126,0.0,0.3016488845780795
260650033022,Block Group 2; Census Tract 33.02; Ingham County; Michigan,80833,410,393,17,17,948,692,203,182800,0.9585365853658536,0.041463414634146344,0.0,0.27004219409282704
260650034001,Block Group 1; Census Tract 34; Ingham County; Michigan,75972,369,232,137,137,933,438,436,178500,0.6287262872628726,0.3712737127371274,0.5693430656934306,0.5305466237942122
260650034002,Block Group 2; Census Tract 34; Ingham County; Michigan,61944,362,233,129,129,866,614,124,142100,0.643646408839779,0.356353591160221,0.4263565891472868,0.2909930715935335
260650034003,Block Group 3; Census Tract 34; Ingham County; Michigan,59635,359,293,66,66,679,526,61,149900,0.8161559888579387,0.18384401114206128,0.0,0.22533136966126655
260650035001,Block Group 1; Census Tract 35; Ingham County; Michigan,50491,283,228,55,55,605,406,38,89300,0.8056537102473498,0.19434628975265017,0.3090909090909091,0.3289256198347107
260650035002,Block Group 2; Census Tract 35; Ingham County; Michigan,55660,377,267,110,110,851,819,0,-666666666,0.7082228116710876,0.2917771883289125,0.0,0.03760282021151584
260650035003,Block Group 3; Census Tract 35; Ingham County; Michigan,60313,732,260,472,472,1560,991,283,123400,0.3551912568306011,0.644808743169399,0.06779661016949153,0.3647435897435898
260650036011,Block Group 1; Census Tract 36.01; Ingham County; Michigan,42969,418,319,99,99,932,289,386,99300,0.7631578947368421,0.23684210526315788,0.5656565656565656,0.6899141630901288
260650036012,Block Group 2; Census Tract 36.01; Ingham County; Michigan,71471,468,428,40,40,1294,411,656,98100,0.9145299145299145,0.08547008547008547,0.0,0.6823802163833076
260650036013,Block Group 3; Census Tract 36.01; Ingham County; Michigan,64531,528,423,105,105,1636,520,751,113400,0.8011363636363636,0.19886363636363635,0.3619047619047619,0.6821515892420538
260650036021,Block Group 1; Census Tract 36.02; Ingham County; Michigan,44766,462,307,155,155,1283,612,257,109200,0.6645021645021645,0.3354978354978355,0.7290322580645161,0.5229929851909587
260650036022,Block Group 2; Census Tract 36.02; Ingham County; Michigan,45156,517,228,289,289,1270,405,531,93400,0.4410058027079304,0.5589941972920697,0.3391003460207612,0.6811023622047244
260650036023,Block Group 3; Census Tract 36.02; Ingham County; Michigan,47738,350,206,144,144,1086,601,146,101300,0.5885714285714285,0.4114285714285714,0.375,0.44659300184162065
260650037001,Block Group 1; Census Tract 37; Ingham County; Michigan,32326,400,129,271,271,856,361,99,109100,0.3225,0.6775,0.033210332103321034,0.5782710280373832
260650037002,Block Group 2; Census Tract 37; Ingham County; Michigan,-666666666,363,312,51,51,736,574,143,73100,0.859504132231405,0.14049586776859505,0.6666666666666666,0.22010869565217395
260650037003,Block Group 3; Census Tract 37; Ingham County; Michigan,38333,460,295,165,165,892,424,241,98600,0.6413043478260869,0.358695652173913,0.6121212121212121,0.5246636771300448
260650037004,Block Group 4; Census Tract 37; Ingham County; Michigan,33111,624,225,399,399,1241,324,309,109100,0.3605769230769231,0.6394230769230769,0.0,0.7389202256244964
260650037005,Block Group 5; Census Tract 37; Ingham County; Michigan,107708,321,253,68,68,669,429,55,163100,0.7881619937694704,0.2118380062305296,0.6176470588235294,0.3587443946188341
260650038011,Block Group 1; Census Tract 38.01; Ingham County; Michigan,107589,513,361,152,152,1259,916,87,218800,0.7037037037037037,0.2962962962962963,0.6052631578947368,0.272438443208896
260650038012,Block Group 2; Census Tract 38.01; Ingham County; Michigan,113750,604,593,11,11,1477,972,64,190700,0.9817880794701986,0.018211920529801324,0.0,0.34190927555856465
260650038013,Block Group 3; Census Tract 38.01; Ingham County; Michigan,51375,662,144,518,518,1166,784,121,234900,0.2175226586102719,0.7824773413897281,0.26640926640926643,0.3276157804459692
