GEOID,assessed_value_median,assessed_value_mean,parcel_count_estimated,property_age_estimate
260650056002,267600,280980.0,331,32
260650056003,236100,247905.0,326,34
260650057001,250800,263340.0,610,33
260650057002,277400,291270.0,643,31
260650057003,273400,287070.0,619,32
260650058001,236000,247800.0,534,34
260650058002,401400,421470.0,838,23
260650058003,172000,180600.0,677,38
260650058004,143400,150570.0,345,40
260650059001,261100,274155.0,491,33
260650059002,270200,283710.0,292,32
260650059003,145500,152775.0,528,40
260650059004,115400,121170.0,658,42
260650060011,234300,246015.0,449,34
260650060012,201300,211365.0,335,36
260650060013,212500,223125.0,426,36
260650060021,188900,198345.0,596,37
260650060022,239900,251895.0,393,34
260650060023,193300,202965.0,504,37
260650061001,189100,198555.0,382,37
260650061002,205100,215355.0,367,36
260650061003,142600,149730.0,353,40
260650061004,118100,124005.0,482,42
260650062001,259800,272790.0,440,33
260650062002,223900,235095.0,284,35
260650062003,213700,224385.0,455,36
260650062004,234000,245700.0,482,34
260650063011,133600,140280.0,213,41
260650063012,187300,196665.0,450,37
260650063013,-666666666,-699999999.3000001,389,100
260650063014,264800,278040.0,439,32
260650063015,351800,369390.0,513,27
260650063021,183100,192255.0,1115,38
260650063022,174000,182700.0,519,38
260650064011,252600,265230.0,567,33
260650064012,235600,247380.0,955,34
260650064021,246800,259140.0,528,33
260650064022,182900,192045.0,470,38
260650065001,161800,169890.0,448,39
260650065002,111400,116970.0,355,42
260650065003,70600,74130.0,410,45
260650065004,91700,96285.0,359,44
260650066001,120300,126315.0,266,42
260650066002,96000,100800.0,1245,43
260650067001,-666666666,-699999999.3000001,587,100
260650067002,-666666666,-699999999.3000001,584,100
260650067003,130500,137025.0,496,41
260650067004,183400,192570.0,551,38
260650068001,72200,75810.0,471,45
260650068002,60000,63000.0,282,46
260650068003,59300,62265.0,436,46
260650068004,65300,68565.0,223,45
260650070001,117900,123795.0,498,42
260650070002,71200,74760.0,175,45
260650070003,109500,114975.0,570,42
260650070004,136800,143640.0,410,41
260650070005,114500,120225.0,466,42
260650070006,144500,151725.0,314,40
260659800001,-666666666,-699999999.3000001,0,100
260659801001,-666666666,-699999999.3000001,7,100
260659802001,-666666666,-699999999.3000001,0,100
260659803001,-666666666,-699999999.3000001,0,100
